Employee Code,Gender,Location,Designation,Qualification,Married,Age,Left,Reason,No of Yrs in Org,Total yrs of Exp,Sourcing Channel,Avg rating last 2yrs,Avg rating this yrs,No of Promotions,Satisfaction compensation,Satisfaction benefits,Satisfaction work life balance,Satisfaction learning opportunity,Satisfaction,Hygiene seating arrangement,Hygiene egronomics,Hygiene infrastructure,Sentiment existing processes,Sentiment recently launched policies,Team performanc goal orientation,Team performanc timely delivery,Team performanc managers interpersonal issues ,Transparency channels of feedback,Transparency communication across peers,Transparency communiction with superior,Transparency newly rolled out process,Challenging organizational environment,Curiosity or Skill-will,Control,Competitive  organizational environment,Appropriate recognition,Co-operative environment,Engagement score external,Engagement score Internal,Engagement,Retention case,Avoidable vs Unavoidable (attrition),Rehire in future,Sentiment towards org
E11,Female,Chennai ,RM2,PGDM/MBA_Mkt,YES,29,0,Better Prospects,3.1,5.2,Reference,4.1,NA,1,4,5,3,4,4.0,4,4,4,2,4,1,4,4,3,4,4,2,4,4,4,4,5,4,3.53,4.17,3.85,YES,UA,,3
E12,Female,Chennai,RM5,PGDM/MBA_Mkt,YES,33,1,,8.5,34.9,Reference,4.4,3.98,2,4,4,4,5,4.3,4,4,4,3,5,4,4,3,3,5,5,4,5,4,4,4,2,4,4.07,3.83,3.95,,,,
E13,Male,Chennai ,RM2,PGDM/MBA_Mkt,YES,43,1,,2.7,4.9,IJP,4.0,3.56,1,1,4,4,4,3.3,5,1,4,4,4,2,4,2,2,5,4,5,4,5,1,5,1,4,3.43,3.33,3.38,,,,
E14,Male,Chennai,RM1,BCOM,YES,37,1,,0.4,1,Campus,NJ-16,NJ-16,0,5,4,4,5,4.5,4,5,5,4,3,3,4,3,3,5,4,2,5,4,4,5,1,2,3.97,3.50,3.74,,,,
E15,Male,Bangalore,RM4,PGDM/MBA_Mkt,NO,33,0,Personal,5.5,19.9,Reference,4.3,NA,1,4,4,5,3,4.0,5,3,4,4,3,4,4,3,4,4,3,2,4,4,3,4,4,5,3.71,4.00,3.85,YES,UA,,3
E16,Male,Chennai,RM3,PGDM/MBA_Mkt,YES,38,0,Involuntary,3.8,10.6,Agency,4.3,NA,1,5,4,4,5,4.5,1,5,4,1,4,4,4,4,4,5,4,5,4,3,5,4,4,3,3.97,3.83,3.90,YES,UA,NO,1
E17,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,33,1,,2.6,6.3,Online,3.9,4.17,0,4,4,4,5,4.3,5,4,4,5,4,4,4,2,3,4,4,2,4,4,4,5,3,5,3.90,4.17,4.03,,,,
E18,Female,Bangalore,RM4,PGDM/MBA_Mkt,YES,39,0,Location,6.3,17.3,IJP,4.1,NA,1,4,4,2,4,3.5,4,3,4,3,2,1,5,2,3,5,2,2,4,4,4,4,3,4,3.15,3.83,3.49,YES,A,,2
E19,Female,Chennai,RM5,PGDM/MBA_Mkt,NO,29,1,,9,27.9,IJP,4.2,3.87,3,3,4,4,4,3.8,4,2,4,5,4,1,5,1,5,4,2,4,4,2,1,4,1,5,3.51,2.83,3.17,,,,
E20,Male,Chennai,RM3,PGDM/MBA_Mkt,YES,39,1,,5,11.8,Agency,4.1,4.17,1,4,4,4,4,4.0,1,4,4,4,3,4,5,4,5,4,4,2,4,2,3,4,4,4,3.76,3.50,3.63,,,,
E21,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,25,0,Better Prospects,0.5,3,IJP,NJ-16,NJ-16,0,4,5,2,5,4.0,5,4,4,4,4,4,5,4,4,4,4,2,4,4,4,4,4,2,4.00,3.67,3.83,NO,NA,NO,2
E22,Male,Bangalore,RM3,PGDM/MBA_Mkt,NO,32,0,Better Prospects,4.5,10.3,Walk in,4.3,NA,1,2,5,2,2,2.8,5,3,5,4,5,3,4,4,4,4,2,1,4,2,2,5,2,4,3.40,3.17,3.28,NO,NA,NO,1
E23,Male,Bangalore,RM5,PGDM/MBA_Mkt,YES,56,0,Personal,7.5,32.5,Walk in,4.4,NA,2,4,5,2,2,3.3,1,4,4,4,4,1,4,5,5,4,5,1,4,4,4,5,4,4,3.43,4.17,3.80,YES,UA,,3
E24,Male,Bangalore,RM2,PGDM/MBA_Mkt,YES,31,1,,2,5.9,Reference,4.2,4.70,0,4,5,4,4,4.3,4,4,3,4,4,5,5,5,4,4,5,4,5,4,1,4,4,4,4.25,3.67,3.96,,,,
E25,Male,Mumbai,RM4,PGDM/MBA_Mkt,YES,36,1,,6,15.9,Reference,4.2,3.89,2,5,4,2,4,3.8,4,5,5,4,4,2,5,4,4,4,4,3,4,4,4,5,3,4,3.93,4.00,3.96,,,,
E26,Male,Mumbai,RM4,PGDM/MBA_Mkt,NO,33,1,,4.5,19.4,IJP,4.2,3.37,1,4,5,2,2,3.3,5,5,4,4,3,4,5,3,4,4,4,3,4,4,3,5,4,4,3.78,4.00,3.89,,,,
E27,Female,Chennai,RM3,PGDM/MBA_Mkt,NO,25,1,,5,8.7,Reference,3.9,4.06,2,4,4,2,5,3.8,4,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,4,4,4.04,4.33,4.19,,,,
E28,Male,Chennai ,RM2,PGDM/MBA_Mkt,NO,25,0,Better Prospects,2.4,4.9,Agency,4.3,NA,0,2,4,4,1,2.8,4,3,5,3,4,3,5,4,4,4,4,4,5,3,3,4,4,4,3.57,3.83,3.70,NO,NA,NO,2
E29,Female,Mumbai,RM5,PGDM/MBA_Mkt,YES,39,1,,8.1,33.3,Reference,4.2,3.98,2,3,4,4,5,4.0,3,3,4,4,4,4,5,3,5,4,4,4,5,4,1,5,4,4,3.94,3.83,3.89,,,,
E30,Male,Bangalore,RM2,PGDM/MBA_Mkt,YES,42,1,,3,6.1,Online,4.0,3.56,0,4,4,5,5,4.5,5,4,4,4,4,1,4,4,4,4,4,2,5,4,1,4,4,4,3.91,3.67,3.79,,,,
E31,Female,Bangalore,RM1,BBA,YES,41,1,,0,1,Agency,NJ-16,NJ-16,0,4,4,4,4,4.0,5,4,4,4,4,1,5,3,5,4,4,3,4,4,4,4,4,4,3.88,4.00,3.94,,,,
E32,Male,Bangalore,RM3,PGDM/MBA_Mkt,NO,30,1,,4.6,9.2,Online,4.4,3.65,1,2,4,3,5,3.5,5,2,5,1,3,5,5,5,1,4,5,4,5,5,4,5,3,4,3.68,4.33,4.00,,,,
E33,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,27,0,Transfer,3.1,5.9,Online,4.1,NA,1,5,4,4,5,4.5,5,5,5,2,3,4,4,5,5,4,2,1,4,3,2,4,5,4,3.97,3.67,3.82,NO,NA,NO,1
E34,Male,Bangalore,RM4,PGDM/MBA_Mkt,YES,26,1,,7.1,18.9,Online,4.1,3.65,2,4,5,5,5,4.8,5,4,5,3,4,4,5,4,4,4,5,5,5,4,3,4,4,4,4.46,4.00,4.23,,,,
E35,Male,Chennai,RM3,PGDM/MBA_Mkt,YES,37,0,Personal,4.2,11.3,Walk in,4.1,NA,1,2,4,4,3,3.3,5,4,4,1,4,1,4,1,2,5,4,2,4,2,4,4,2,4,3.13,3.33,3.23,NO,NA,NO,2
E36,Male,Bangalore,RM3,PGDM/MBA_Mkt,YES,40,1,,3.9,8.5,Online,4.3,3.65,1,4,3,4,4,3.8,1,4,5,2,4,5,4,1,2,5,4,5,4,4,4,4,1,4,3.57,3.50,3.54,,,,
E37,Male,NCR,RM2,PGDM/MBA_Mkt,YES,25,0,Better Prospects,2.5,4.3,IJP,3.9,NA,0,4,5,4,2,3.8,5,4,5,4,5,3,4,4,4,5,1,5,4,4,1,4,4,4,3.99,3.50,3.74,NO,NA,NO,2
E38,Female,Bangalore,RM1,PGDM/MBA_Mkt,YES,28,0,Personal,0.9,2.3,Reference,NJ-16,NJ-16,0,3,5,3,4,3.8,4,2,5,5,5,4,4,4,3,4,5,4,4,4,5,4,4,3,3.99,4.00,3.99,YES,UA,,3
E39,Male,Mumbai,RM4,PGDM/MBA_Mkt,YES,33,1,,6.5,21.8,Reference,4.4,3.57,2,3,4,4,4,3.8,1,3,4,2,4,5,4,3,4,4,4,4,4,3,2,4,4,5,3.57,3.67,3.62,,,,
E40,Female,Bangalore,RM3,PGDM/MBA_Mkt,YES,40,1,,4.5,9.3,Online,4.2,4.06,1,4,5,4,4,4.3,4,4,5,3,5,4,4,1,4,4,4,4,4,4,4,4,4,4,3.96,4.00,3.98,,,,
E41,Male,Bangalore,RM1,BBA,YES,27,0,Involuntary,1.1,2.1,Campus,NJ-15,NA,0,3,5,4,4,4.0,3,3,5,4,5,4,4,5,2,4,1,5,4,2,3,4,1,4,3.82,3.00,3.41,NO,NA,NO,2
E42,Female,Chennai ,RM2,PGDM/MBA_Mkt,NO,31,1,,2.8,6.4,Walk in,4.1,3.56,0,5,4,4,5,4.5,5,5,4,2,5,4,4,2,4,4,3,2,4,2,4,4,3,4,3.91,3.50,3.71,,,,
E43,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,23,0,Better Prospects,2.4,4,Campus,4.1,NA,0,4,4,4,5,4.3,5,4,5,3,3,3,4,4,2,4,3,4,5,3,4,4,4,4,3.84,4.00,3.92,NO,NA,NO,1
E44,Male,Bangalore,RM4,PGDM/MBA_Mkt,YES,44,0,Transfer,7.3,21,Online,4.3,NA,2,4,4,3,2,3.3,5,4,4,2,5,4,5,4,4,4,3,3,4,5,3,4,4,4,3.72,4.00,3.86,YES,A,,4
E45,Female,NCR,RM3,PGDM/MBA_Mkt,YES,31,1,,5.5,10.2,Agency,4.0,4.52,1,4,5,5,5,4.8,5,4,5,5,1,4,4,4,1,4,4,4,3,4,4,4,4,5,4.04,4.00,4.02,,,,
E46,Female,Chennai ,RM4,PGDM/MBA_Mkt,YES,45,0,Involuntary,7,18.7,Online,4.2,NA,2,4,5,2,4,3.8,4,4,4,3,2,4,4,4,3,5,1,3,3,4,4,4,1,4,3.51,3.33,3.42,NO,NA,NO,1
E47,Male,NCR,RM3,PGDM/MBA_Mkt,NO,29,0,Involuntary,4.3,10,Agency,4.0,NA,2,5,4,4,5,4.5,4,5,4,3,1,4,4,2,1,5,3,5,4,3,4,4,3,5,3.74,3.83,3.78,NO,NA,NO,2
E48,Female,NCR,RM3,PGDM/MBA_Mkt,NO,30,0,Better Prospects,3.4,9,Online,4.0,NA,0,2,5,4,4,3.8,5,2,4,5,2,4,4,1,4,5,3,4,3,3,3,4,5,4,3.63,3.67,3.65,YES,UA,,4
E49,Male,Bangalore,RM2,PGDM/MBA_Mkt,YES,36,1,,3.2,7,Online,4.1,3.98,1,5,5,2,5,4.3,4,5,4,4,1,3,4,3,2,5,5,4,5,5,5,4,2,5,3.84,4.33,4.09,,,,
E50,Female,Chennai,RM1,PGDM/MBA_Mkt,NO,29,1,,0,1.5,IJP,NJ-16,NJ-16,0,4,5,4,5,4.5,5,4,4,4,4,3,3,5,3,5,3,4,5,2,4,4,3,5,4.09,3.83,3.96,,,,
E51,Female,Bangalore,RM2,PGDM/MBA_Mkt,YES,29,0,Better Prospects,1.5,5.1,IJP,NJ-15,NA,0,5,5,3,5,4.5,4,3,4,4,2,4,4,2,4,5,5,4,5,3,3,4,4,5,3.97,4.00,3.99,NO,NA,NO,2
E52,Male,NCR,RM3,PGDM/MBA_Mkt,YES,32,0,Job Environment ,4.6,8,Agency,4.4,NA,1,1,4,4,4,3.3,1,1,4,5,3,4,5,3,5,5,1,5,4,4,1,4,2,5,3.43,3.33,3.38,YES,A,,3
E53,Female,Bangalore,RM2,PGDM/MBA_Mkt,NO,38,1,,1.9,7.2,Reference,NJ-15,4.60,0,5,5,5,5,5.0,5,5,4,5,5,5,5,4,2,4,5,2,4,4,4,4,4,5,4.47,4.17,4.32,,,,
E54,Female,Chennai,RM3,PGDM/MBA_Mkt,YES,36,1,,4.8,8.9,Online,4.3,3.65,1,4,5,4,4,4.3,5,4,4,5,5,1,4,2,2,4,3,5,5,1,4,4,2,4,3.84,3.33,3.59,,,,
E55,Male,Chennai,RM3,PGDM/MBA_Mkt,YES,35,1,,4,10.6,Walk in,4.6,3.63,1,4,5,5,4,4.5,5,4,4,4,5,5,4,3,2,4,4,4,5,4,4,5,2,4,4.15,4.00,4.07,,,,
E56,Male,Bangalore,RM3,PGDM/MBA_Mkt,YES,31,0,Job Environment ,3.8,10.4,Reference,4.3,NA,1,1,5,4,2,3.0,5,2,4,4,5,5,4,2,1,4,3,4,4,4,2,5,4,4,3.41,3.83,3.62,YES,A,,3
E57,Male,Chennai,RM1,PGDM/MBA_Mkt,NO,25,0,Better Prospects,0.7,2.4,IJP,NJ-16,NJ-16,0,2,4,4,1,2.8,4,3,4,4,3,4,5,2,3,4,2,1,5,2,2,5,5,3,3.10,3.67,3.38,NO,NA,NO,2
E58,Female,Bangalore,RM1,BBA,YES,24,0,Better Prospects,0.6,2,Reference,NJ-16,NJ-16,0,3,4,3,4,3.5,4,3,4,5,3,5,4,4,1,4,1,5,5,4,3,4,2,1,3.56,3.17,3.36,NO,NA,NO,2
E59,Male,Bangalore,RM5,PGDM/MBA_Mkt,NO,30,1,,8.4,32,Reference,4.4,4.17,3,4,4,4,4,4.0,5,4,4,5,4,5,4,5,3,4,4,4,4,2,4,5,2,4,4.18,3.50,3.84,,,,
E60,Male,NCR,RM2,PGDM/MBA_Mkt,YES,25,0,Better Prospects,1.1,4.9,Campus,NJ-15,NA,0,4,5,4,4,4.3,3,4,5,4,4,5,4,2,2,4,2,4,4,5,3,4,5,4,3.76,4.17,3.96,NO,NA,NO,2
E61,Male,Bangalore,RM4,PGDM/MBA_Mkt,YES,41,1,,6.9,19.8,IJP,4.3,3.93,2,4,5,5,4,4.5,3,4,4,4,3,3,4,3,2,4,1,1,5,5,3,4,2,4,3.44,3.83,3.64,,,,
E62,Female,NCR,RM3,PGDM/MBA_Mkt,NO,27,0,Better Prospects,3.2,9.4,Campus,4.1,NA,1,4,4,4,4,4.0,3,4,4,5,4,4,4,4,4,4,3,3,5,1,4,4,2,5,3.88,3.50,3.69,YES,UA,,4
E63,Female,Bangalore,RM5,PGDM/MBA_Mkt,YES,37,0,Better Prospects,9.2,29.7,Reference,4.3,NA,3,3,5,2,5,3.8,2,3,4,5,4,2,5,2,2,5,1,3,4,3,4,4,4,4,3.34,3.83,3.59,YES,UA,,4
E64,Male,Chennai ,RM2,PGDM/MBA_Mkt,NO,24,0,Better Prospects,1,6.9,Online,NJ-15,NA,0,3,4,4,5,4.0,2,3,4,5,4,4,4,3,5,5,2,4,5,3,4,4,2,5,3.82,3.83,3.83,NO,NA,NO,3
E65,Female,Bangalore,RM4,PGDM/MBA_Mkt,NO,32,0,Better Prospects,4.8,19.7,Online,4.4,NA,2,5,5,4,5,4.8,1,5,4,5,5,4,4,2,3,4,4,2,5,2,4,4,2,4,3.93,3.50,3.71,YES,A,,4
E66,Male,NCR,RM1,PGDM/MBA_Mkt,YES,25,0,Location,0,2.2,IJP,NJ-16,NJ-16,0,4,5,5,3,4.3,5,4,4,5,4,3,4,1,3,5,5,3,5,2,2,5,1,4,3.96,3.17,3.56,NO,NA,NO,2
E67,Male,NCR,RM3,PGDM/MBA_Mkt,NO,22,0,Better Prospects,3.1,8.9,Walk in,3.5,NA,0,2,4,4,5,3.8,1,2,3,3,4,4,4,3,2,4,2,1,5,2,3,4,1,4,3.04,3.17,3.11,NO,NA,NO,1
E68,Male,Chennai,RM3,PGDM/MBA_Mkt,YES,35,1,,2.9,12.1,Reference,4.5,4.17,1,3,4,3,4,3.5,5,3,4,2,3,5,5,3,4,3,4,4,5,4,4,4,4,4,3.68,4.17,3.92,,,,
E69,Female,Chennai,RM3,PGDM/MBA_Mkt,YES,29,1,,5,10.7,IJP,4.3,4.17,1,5,4,4,5,4.5,4,5,5,4,2,5,5,5,1,3,2,2,4,4,5,5,3,4,3.85,4.17,4.01,,,,
E70,Female,NCR,RM3,PGDM/MBA_Mkt,YES,27,0,Location,4.3,12.1,Campus,4.3,NA,1,4,4,4,4,4.0,4,4,5,4,4,4,4,4,3,4,1,3,5,3,2,5,3,4,3.76,3.67,3.72,YES,UA,,3
E71,Female,Bangalore,RM2,PGDM/MBA_Mkt,NO,26,0,Better Prospects,1.4,5.7,Reference,NJ-15,NA,0,4,4,4,4,4.0,4,4,4,4,1,4,4,2,1,5,3,1,5,5,5,5,3,5,3.35,4.67,4.01,YES,A,,4
E72,Female,NCR,RM4,PGDM/MBA_Mkt,YES,43,1,,5.9,21.7,Online,4.3,3.74,2,4,4,5,4,4.3,5,4,4,4,2,5,5,1,4,4,1,2,5,2,5,5,5,5,3.66,4.50,4.08,,,,
E73,Male,Bangalore,RM3,PGDM/MBA_Mkt,YES,37,0,Better Prospects,3.9,9.9,Reference,4.2,NA,1,4,4,2,5,3.8,5,4,4,1,3,4,4,4,2,5,2,4,5,4,4,5,4,4,3.57,4.33,3.95,YES,UA,,3
E74,Male,Chennai,RM1,BCOM,NO,23,0,Location,0.5,1,Walk in,NJ-16,NJ-16,0,4,4,5,4,4.3,4,4,4,4,4,3,4,2,4,4,2,2,4,3,4,4,2,2,3.66,3.17,3.41,NO,NA,NO,1
E75,Male,NCR,RM2,PGDM/MBA_Mkt,YES,27,0,Involuntary,3.4,6.3,IJP,4.3,NA,1,5,4,4,4,4.3,5,3,5,4,2,4,5,5,2,4,5,5,5,3,3,5,5,1,4.13,3.67,3.90,NO,NA,NO,2
E76,Male,Bangalore,RM2,PGDM/MBA_Mkt,YES,27,0,Involuntary,2.5,5.2,Reference,3.1,NA,0,2,4,5,4,3.8,5,2,5,4,5,2,4,1,1,5,2,2,4,4,2,5,4,4,3.34,3.83,3.59,NO,NA,NO,1
E77,Female,Chennai,RM3,PGDM/MBA_Mkt,YES,35,1,,4.8,10.9,IJP,4.4,4.17,1,4,4,1,5,3.5,5,4,4,2,2,1,5,5,3,4,4,4,4,4,4,5,4,4,3.56,4.17,3.86,,,,
E78,Male,Bangalore,RM4,PGDM/MBA_Mkt,YES,41,1,,6.8,22,Agency,4.4,3.89,2,5,4,5,5,4.8,3,5,4,5,3,4,5,2,2,3,1,1,4,4,5,4,4,4,3.63,4.17,3.90,,,,
E79,Male,Bangalore,RM2,PGDM/MBA_Mkt,YES,27,0,Involuntary,2.8,4.4,IJP,4.0,NA,0,3,4,4,1,3.0,5,4,4,3,4,4,5,1,2,4,5,2,5,4,3,4,4,4,3.39,4.00,3.70,NO,NA,NO,1
E80,Female,Chennai,RM3,PGDM/MBA_Mkt,NO,31,1,,3.7,11.4,Online,4.2,3.63,1,5,4,4,5,4.5,1,5,4,2,1,4,4,4,4,4,4,4,5,4,5,4,1,5,3.74,4.00,3.87,,,,
E81,Female,Chennai ,RM4,PGDM/MBA_Mkt,NO,29,1,,7,20.1,Campus,4.1,3.37,1,4,4,1,5,3.5,5,2,4,4,3,4,4,2,1,5,5,2,3,4,1,4,3,3,3.41,3.00,3.21,,,,
E82,Male,NCR,RM3,PGDM/MBA_Mkt,NO,32,1,,4,12.3,Online,4.1,4.17,1,4,4,2,3,3.3,1,3,4,4,3,4,4,3,2,4,4,1,4,4,5,4,4,4,3.13,4.17,3.65,,,,
E83,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,29,0,Better Prospects,2.4,6.2,Reference,2.7,NA,0,4,4,3,2,3.3,2,1,5,4,4,5,4,1,1,4,3,3,5,5,2,4,3,4,3.14,3.83,3.49,NO,NA,NO,2
E84,Female,Chennai ,RM4,PGDM/MBA_Mkt,YES,43,1,,5.2,19.7,Online,4.1,3.57,1,4,5,4,4,4.3,1,4,4,4,3,5,4,4,4,4,3,2,4,1,2,4,3,4,3.72,3.00,3.36,,,,
E85,Female,Chennai,RM3,PGDM/MBA_Mkt,YES,37,1,,3,9.8,Walk in,4.2,3.63,1,3,4,4,4,3.8,4,3,4,1,4,5,4,2,2,5,4,1,5,2,1,4,4,4,3.40,3.33,3.37,,,,
E86,Male,Bangalore,RM1,PGDM/MBA_Mkt,NO,56,1,,0.3,3,Walk in,NJ-16,NJ-16,0,4,4,4,4,4.0,2,3,5,4,2,3,5,5,3,5,4,5,4,4,2,4,4,4,3.88,3.67,3.77,,,,
E87,Female,Bangalore,RM2,PGDM/MBA_Mkt,YES,37,1,,3.1,5.2,IJP,3.8,4.17,1,4,4,4,4,4.0,4,5,4,4,1,5,5,2,3,4,5,2,5,4,3,4,4,4,3.76,4.00,3.88,,,,
E88,Female,Chennai ,RM4,PGDM/MBA_Mkt,NO,38,0,Better Prospects,5.9,15.9,Online,4.2,NA,2,4,4,3,5,4.0,5,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3.88,4.00,3.94,YES,UA,,3
E89,Female,NCR,RM5,PGDM/MBA_Mkt,YES,29,1,,7.5,36,Online,4.4,4.17,2,4,4,3,4,3.8,4,4,5,2,3,5,4,2,5,4,3,3,4,2,2,4,1,4,3.69,2.83,3.26,,,,
E90,Female,Bangalore,RM1,BBA,NO,24,0,Better Prospects,0,2,Online,NJ-16,NJ-16,0,4,5,2,5,4.0,5,4,5,5,2,4,4,4,1,5,4,1,4,3,4,4,2,3,3.76,3.33,3.55,NO,NA,NO,2
E91,Male,Chennai,RM3,PGDM/MBA_Mkt,YES,23,0,Location,3.9,8.9,Reference,4.2,NA,1,4,4,3,4,3.8,4,4,5,3,5,4,4,1,2,5,5,4,4,2,3,5,1,4,3.81,3.17,3.49,NO,NA,NO,1
E92,Male,Chennai,RM3,PGDM/MBA_Mkt,NO,33,1,,3.5,9.6,Agency,4.3,3.65,1,4,4,5,4,4.3,5,4,4,2,4,4,5,2,4,4,4,2,4,4,2,5,3,5,3.84,3.83,3.84,,,,
E93,Male,Chennai ,RM2,PGDM/MBA_Mkt,YES,29,0,Involuntary,2.9,4.8,Reference,3.8,4.17,0,4,3,5,5,4.3,4,4,4,4,4,4,4,5,2,4,3,3,4,4,3,4,3,4,3.90,3.67,3.78,NO,NA,NO,1
E94,Male,Chennai,RM1,PGDM/MBA_Mkt,NO,25,0,Better Prospects,2.7,3.2,Reference,3.3,NA,0,4,4,5,1,3.5,4,2,5,3,4,3,4,1,4,4,1,5,4,3,2,5,2,5,3.38,3.50,3.44,NO,NA,NO,2
E95,Male,NCR,RM4,PGDM/MBA_Mkt,NO,25,1,,6.4,19.9,Walk in,4.6,4.83,2,4,5,1,4,3.5,2,4,4,4,4,4,4,4,5,4,5,1,5,5,2,4,5,2,3.68,3.83,3.75,,,,
E96,Male,Chennai,RM5,PGDM/MBA_Mkt,YES,27,0,Location,7.4,36.9,Walk in,4.3,NA,2,2,5,3,3,3.3,5,3,4,4,5,4,5,2,2,4,3,1,4,3,3,4,4,4,3.43,3.67,3.55,YES,A,,3
E97,Male,Mumbai,RM4,PGDM/MBA_Mkt,NO,25,1,,7.5,21.7,Online,4.3,3.93,1,2,5,3,5,3.8,3,5,4,2,2,4,4,4,3,5,1,2,4,2,3,3,4,4,3.40,3.33,3.37,,,,
E98,Female,Chennai,RM1,PGDM/MBA_Mkt,YES,28,1,,0,2,Online,NJ-16,NJ-16,0,2,4,4,4,3.5,5,5,5,4,3,4,4,1,2,5,4,3,4,2,1,5,3,3,3.68,3.00,3.34,,,,
E99,Male,Bangalore,RM2,PGDM/MBA_Mkt,NO,27,0,Involuntary,2.7,5.6,Agency,2.6,NA,0,4,4,4,4,4.0,5,4,5,4,2,4,4,4,4,4,2,1,4,3,4,3,3,5,3.71,3.67,3.69,NO,NA,NO,1
E100,Male,NCR,RM2,PGDM/MBA_Mkt,NO,23,0,Involuntary,2,4.8,Campus,4.0,NA,0,4,4,3,5,4.0,5,2,4,4,4,3,5,2,3,4,3,3,4,4,2,4,5,4,3.65,3.83,3.74,NO,NA,NO,1
E101,Male,Bangalore,RM2,PGDM/MBA_Mkt,YES,30,0,Location,3.4,5.2,Walk in,4.1,NA,1,4,4,4,2,3.5,1,3,5,1,2,3,4,3,4,5,1,3,4,4,5,5,5,5,3.09,4.67,3.88,YES,A,,2
E102,Female,Chennai ,RM4,PGDM/MBA_Mkt,NO,29,1,,2.3,22.6,Online,4.4,3.93,1,3,4,4,4,3.8,2,3,5,4,3,4,4,2,4,4,4,1,4,5,3,4,4,5,3.46,4.17,3.81,,,,
E103,Male,Chennai,RM3,PGDM/MBA_Mkt,NO,32,0,Involuntary,5.7,10,Reference,4.4,NA,2,3,5,4,3,3.8,1,2,5,3,5,4,4,4,2,5,2,3,4,4,2,5,4,5,3.46,4.00,3.73,YES,UA,NO,1
